aluguel,condominio,endereco,id,imobiliaria,iptu,link,metragem,num_quartos,num_vagas_garagem,pagina,titulo_anuncio
   R$ 1.950, R$ 978 ,"Rua João Pio Duarte Silva - Córrego Grande, Florianópolis - SC",2493246821,, R$ 105 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-113m2-aluguel-RS1950-id-2493246821/?__vt=lgpd:b,113,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 113 m² por R$ 1.950/Mês  "
   R$ 1.600, Não informado ,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 4252 - Rio Tavares, Florianópolis - SC",2492635398,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rio-tavares-bairros-florianopolis-com-garagem-60m2-aluguel-RS1600-id-2492635398/?__vt=lgpd:b,60,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 60 m² por R$ 1.600/Mês  "
   R$ 3.500, R$ 750 ,"Rua Hermann Blumenau, 111 - Centro, Florianópolis - SC",2489660720,, R$ 200 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-80m2-aluguel-RS3500-id-2489660720/?__vt=lgpd:b,80,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 80 m² por R$ 3.500/Mês  "
   R$ 1.300, R$ 422 ,"Rua Desembargador Pedro Silva, 2202 - Coqueiros, Florianópolis - SC",2492117178,, R$ 600 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-coqueiros-bairros-florianopolis-com-garagem-46m2-aluguel-RS1300-id-2492117178/?__vt=lgpd:b,46,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 46 m² por R$ 1.300/Mês  "
   R$ 1.900, R$ 220 ,"Rua dos Cambuatas, 206 - Jurerê, Florianópolis - SC",2491392198,, R$ 860 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-66m2-aluguel-RS1900-id-2491392198/?__vt=lgpd:b,66,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 66 m² por R$ 1.900/Mês  "
   R$ 7.500, R$ 110 ,"Rua Professor Clóvis Menel Calliari, 226 - Joao Paulo, Florianópolis - SC",2477731597,, R$ 220 ,https://www.vivareal.com.br/imovel/casa-4-quartos-joao-paulo-bairros-florianopolis-com-garagem-309m2-aluguel-RS7500-id-2477731597/?__vt=lgpd:b,309,4,2,Vivareal,"  Casa com 4 Quartos para Alugar, 309 m² por R$ 7.500/Mês  "
   R$ 749.000   , Não informado ,"Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC",2492285999,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-56m2-venda-RS749000-id-2492285999/?__vt=lgpd:b,56,1,1,Vivareal,"  Apartamento com 1 Quarto à Venda, 56 m² por R$ 749.000  "
   R$ 3.500, R$ 950 ,"Estrada Vereador Onildo Lemos, 2345 - Ingleses Norte, Florianópolis - SC",2495351184,, R$ 2.000 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-norte-bairros-florianopolis-com-garagem-102m2-aluguel-RS3500-id-2495351184/?__vt=lgpd:b,102,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 102 m² por R$ 3.500/Mês  "
   R$ 6.500, R$ 1.700 ,"Rua Jornalista Narbal Villela, 56 - Joao Paulo, Florianópolis - SC",2493039592,, R$ 3.200 ,https://www.vivareal.com.br/imovel/apartamento-4-quartos-joao-paulo-bairros-florianopolis-com-garagem-188m2-aluguel-RS6500-id-2493039592/?__vt=lgpd:b,188,4,3,Vivareal,"  Apartamento com 4 Quartos para Alugar, 188 m² por R$ 6.500/Mês  "
   R$ 6.000,,"Servidão Jucélia Martins Leal, 386 - Canto da Lagoa, Florianópolis - SC",2495299656,, R$ 1.000 ,https://www.vivareal.com.br/imovel/casa-3-quartos-canto-da-lagoa-bairros-florianopolis-com-garagem-250m2-aluguel-RS6000-id-2495299656/?__vt=lgpd:b,250,3,2,Vivareal,"  Casa com 3 Quartos para Alugar, 250 m² por R$ 6.000/Mês  "
   R$ 1.850, R$ 557 ,"Rua Santa Rita de Cássia - Coloninha, Florianópolis - SC",2493246822,, R$ 102 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coloninha-bairros-florianopolis-com-garagem-109m2-aluguel-RS1850-id-2493246822/?__vt=lgpd:b,109,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 109 m² por R$ 1.850/Mês  "
   R$ 3.000, R$ 450 ,"Rua Irmão Joaquim, 226 - Centro, Florianópolis - SC",2490665675,, R$ 2.000 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-47m2-aluguel-RS3000-id-2490665675/?__vt=lgpd:b,47,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 47 m² por R$ 3.000/Mês  "
   R$ 2.700, R$ 800 ,"Rua dos Chernes, 525 - Jurerê, Florianópolis - SC",2494472751,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-109m2-aluguel-RS2700-id-2494472751/?__vt=lgpd:b,109,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 109 m² por R$ 2.700/Mês  "
   R$ 2.000, R$ 400 ,"Rodovia Francisco Thomaz dos Santos, 6413 - Armação do Pântano do Sul, Florianópolis - SC",2495665414,, R$ 140 ,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-armacao-do-pantano-do-sul-bairros-florianopolis-com-garagem-90m2-aluguel-RS2000-id-2495665414/?__vt=lgpd:b,90,3,2,Vivareal,"  Casa de Condomínio com 3 Quartos para Alugar, 90 m² por R$ 2.000/Mês  "
   R$ 230.000   , Não informado ,"Rua do Trinta - Réis, 60 - Ingleses do Rio Vermelho, Florianópolis - SC",2495495600,,,https://www.vivareal.com.br/imovel/kitnet-ingleses-do-rio-vermelho-bairros-florianopolis-35m2-venda-RS230000-id-2495495600/?__vt=lgpd:b,35,,,Vivareal,"  Kitnet à Venda, 35 m² por R$ 230.000  "
   R$ 87.000,,"Rodovia Jornalista Manoel de Menezes, 3293 - Barra da Lagoa, Florianópolis - SC",2492305665,, R$ 5.227 ,https://www.vivareal.com.br/imovel/imovel-comercial-barra-da-lagoa-bairros-florianopolis-1500m2-aluguel-RS87000-id-2492305665/?__vt=lgpd:b,1500,,,Vivareal,"  Imóvel Comercial para Alugar, 1500 m² por R$ 87.000/Mês  "
   R$ 1.600, R$ 490 ,"Rua Deputado Antônio Edu Vieira, 1798 - Pantanal, Florianópolis - SC",2492988679,, R$ 85 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-com-garagem-46m2-aluguel-RS1600-id-2492988679/?__vt=lgpd:b,46,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 46 m² por R$ 1.600/Mês  "
   R$ 1.800, R$ 400 ,"Rua do Marisco, 585 - Ingleses do Rio Vermelho, Florianópolis - SC",2493534326,, R$ 100 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-70m2-aluguel-RS1800-id-2493534326/?__vt=lgpd:b,70,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 1.800/Mês  "
   R$ 900, R$ 400 ,"Rua Fúlvio Aducci, 1360 - Estreito, Florianópolis - SC",2494595680,, R$ 100 ,https://www.vivareal.com.br/imovel/sala-comercial-estreito-bairros-florianopolis-38m2-aluguel-RS900-id-2494595680/?__vt=lgpd:b,38,,,Vivareal,"  Sala Comercial para Alugar, 38 m² por R$ 900/Mês  "
   R$ 1.900, R$ 360 ,"Rodovia Amaro Antônio Vieira, 1820 - Itacorubi, Florianópolis - SC",2484064122,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-com-garagem-49m2-aluguel-RS1900-id-2484064122/?__vt=lgpd:b,49,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 49 m² por R$ 1.900/Mês  "
   R$ 4.000,,"Rua Joe Collaço, 744 - Santa Mônica, Florianópolis - SC",2494071225,, R$ 150 ,https://www.vivareal.com.br/imovel/casa-2-quartos-santa-monica-bairros-florianopolis-83m2-aluguel-RS4000-id-2494071225/?__vt=lgpd:b,83,2,,Vivareal,"  Casa com 2 Quartos para Alugar, 83 m² por R$ 4.000/Mês  "
   R$ 3.100, R$ 613 ,"Rodovia Admar Gonzaga, 725 - Itacorubi, Florianópolis - SC",2487213764,, R$ 675 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-92m2-aluguel-RS3100-id-2487213764/?__vt=lgpd:b,92,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 92 m² por R$ 3.100/Mês  "
   R$ 1.300, R$ 350 ,"Rodovia Admar Gonzaga, 1623 - Itacorubi, Florianópolis - SC",2492333603,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-59m2-aluguel-RS1300-id-2492333603/?__vt=lgpd:b,59,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 59 m² por R$ 1.300/Mês  "
   R$ 2.100, R$ 400 ,"Rua Professor Milton Roque Ramos Krieger, 178 - Trindade, Florianópolis - SC",2485646087,, R$ 110 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-75m2-aluguel-RS2100-id-2485646087/?__vt=lgpd:b,75,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 75 m² por R$ 2.100/Mês  "
   R$ 2.300, R$ 620 ,"Rua Deputado Antônio Edu Vieira, 200 - Pantanal, Florianópolis - SC",2488674278,, R$ 179 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pantanal-bairros-florianopolis-com-garagem-70m2-aluguel-RS2300-id-2488674278/?__vt=lgpd:b,70,2,2,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 2.300/Mês  "
   R$ 1.500, R$ 300 ,"Rua Maria Eduarda, 33 - Pantanal, Florianópolis - SC",2486586277,, R$ 200 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-35m2-aluguel-RS1500-id-2486586277/?__vt=lgpd:b,35,1,,Vivareal,"  Apartamento com 1 Quarto para Alugar, 35 m² por R$ 1.500/Mês  "
   R$ 1.600, R$ 420 ,"Rua Lauro Linhares - Trindade, Florianópolis - SC",2493248201,, R$ 122 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-39m2-aluguel-RS1600-id-2493248201/?__vt=lgpd:b,39,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 39 m² por R$ 1.600/Mês  "
   R$ 1.600, R$ 420 ,"Rua Lauro Linhares - Trindade, Florianópolis - SC",2493248201,, R$ 122 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-39m2-aluguel-RS1600-id-2493248201/,39,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 39 m² por R$ 1.600/Mês  "
   R$ 1.600, R$ 412 ,"Rua Procópio Manoel Pires - Trindade, Florianópolis - SC",2493249879,, R$ 63 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-63m2-aluguel-RS1600-id-2493249879/?__vt=lgpd:b,63,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 63 m² por R$ 1.600/Mês  "
