aluguel,condominio,endereco,id,imobiliaria,iptu,link,metragem,num_quartos,num_vagas_garagem,pagina,titulo_anuncio
   R$ 8.800, R$ 3.569 ,"Centro, Florianópolis - SC",2489701576,, R$ 1.133 ,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-florianopolis-com-garagem-352m2-aluguel-RS8800-id-2489701576/?__vt=lgpd:b,352,4,3,Vivareal,"  Apartamento com 4 Quartos para Alugar, 352 m² por R$ 8.800/Mês  "
   R$ 950,,"Rua José Xavier da Rosa - Carianos, Florianópolis - SC",2493249706,, R$ 8 ,https://www.vivareal.com.br/imovel/kitnet-1-quartos-carianos-bairros-florianopolis-com-garagem-27m2-aluguel-RS950-id-2493249706/?__vt=lgpd:b,27,1,1,Vivareal,"  Kitnet com 1 Quarto para Alugar, 27 m² por R$ 950/Mês  "
   R$ 1.450, R$ 487 ,"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",2493246808,, R$ 34 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-com-garagem-47m2-aluguel-RS1450-id-2493246808/?__vt=lgpd:b,47,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 47 m² por R$ 1.450/Mês  "
   R$ 1.200, R$ 700 ,"Rua Araújo Figueiredo, 119 - Centro, Florianópolis - SC",2449077303,, R$ 1.470 ,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-3580m2-aluguel-RS1200-id-2449077303/?__vt=lgpd:b,3580,,1,Vivareal,"  Sala Comercial para Alugar, 3580 m² por R$ 1.200/Mês  "
   R$ 1.850, R$ 714 ,"Rua General Valgas Neves - Estreito, Florianópolis - SC",2493249788,, R$ 95 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-72m2-aluguel-RS1850-id-2493249788/?__vt=lgpd:b,72,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 72 m² por R$ 1.850/Mês  "
   R$ 1.600, R$ 579 ,"Avenida Mauro Ramos, 278 - Centro, Florianópolis - SC",2495984708,, R$ 124 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-65m2-aluguel-RS1600-id-2495984708/?__vt=lgpd:b,65,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 65 m² por R$ 1.600/Mês  "
   R$ 3.500, Não informado ,"Rua Intendente João Nunes Vieira, 51 - Praia dos Ingleses, Florianópolis - SC",2490039080,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-praia-dos-ingleses-bairros-florianopolis-com-garagem-110m2-aluguel-RS3500-id-2490039080/?__vt=lgpd:b,110,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 110 m² por R$ 3.500/Mês  "
   R$ 720, Não informado ,"Rua Libia Cruz - Estreito, Florianópolis - SC",2487189684,,,https://www.vivareal.com.br/imovel/ponto-comercial-estreito-bairros-florianopolis-com-garagem-42m2-aluguel-RS720-id-2487189684/?__vt=lgpd:b,42,,1,Vivareal,"  Ponto Comercial para Alugar, 42 m² por R$ 720/Mês  "
   R$ 595, R$ 79 ,"Rua Oge Fortkamp, 226 - Trindade, Florianópolis - SC",2496141208,,,https://www.vivareal.com.br/imovel/kitnet-1-quartos-trindade-bairros-florianopolis-20m2-aluguel-RS595-id-2496141208/?__vt=lgpd:b,20,1,,Vivareal,"  Kitnet com 1 Quarto para Alugar, 20 m² por R$ 595/Mês  "
   R$ 1.400, R$ 463 ,"Avenida Desembargador Vítor Lima, 155 - Trindade, Florianópolis - SC",2494178435,, R$ 74 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-70m2-aluguel-RS1400-id-2494178435/?__vt=lgpd:b,70,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 1.400/Mês  "
   R$ 1.750, R$ 178 ,"Rua João Pio Duarte Silva, 264 - Córrego Grande, Florianópolis - SC",2485099090,, R$ 50 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-corrego-grande-bairros-florianopolis-36m2-aluguel-RS1750-id-2485099090/?__vt=lgpd:b,36,1,,Vivareal,"  Apartamento com 1 Quarto para Alugar, 36 m² por R$ 1.750/Mês  "
   R$ 1.596, R$ 309 ,"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",2493248196,, R$ 26 ,https://www.vivareal.com.br/imovel/kitnet-1-quartos-trindade-bairros-florianopolis-com-garagem-31m2-aluguel-RS1596-id-2493248196/?__vt=lgpd:b,31,1,1,Vivareal,"  Kitnet com 1 Quarto para Alugar, 31 m² por R$ 1.596/Mês  "
   R$ 1.200, R$ 150 ,"Rua Graciliano Manoel Gomes, 25 - Ingleses do Rio Vermelho, Florianópolis - SC",2494690885,, R$ 720 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-64m2-aluguel-RS1200-id-2494690885/?__vt=lgpd:b,64,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 64 m² por R$ 1.200/Mês  "
   R$ 4.500,,"Servidão Elpídio da Rocha - Rio Tavares, Florianópolis - SC",2496154959,, R$ 129 ,https://www.vivareal.com.br/imovel/casa-3-quartos-rio-tavares-bairros-florianopolis-com-garagem-150m2-aluguel-RS4500-id-2496154959/?__vt=lgpd:b,150,3,2,Vivareal,"  Casa com 3 Quartos para Alugar, 150 m² por R$ 4.500/Mês  "
   R$ 1.100, R$ 388 ,"Rua Padre Marcelino Champagnat - Jardim Atlântico, Florianópolis - SC",2493248195,, R$ 49 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-70m2-aluguel-RS1100-id-2493248195/?__vt=lgpd:b,70,2,,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 1.100/Mês  "
   R$ 1.500, Não informado ,"Rua Leonel Pereira, 396A - Cachoeira do Bom Jesus, Florianópolis - SC",2494819083,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-55m2-aluguel-RS1500-id-2494819083/?__vt=lgpd:b,55,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 55 m² por R$ 1.500/Mês  "
   R$ 2.000, R$ 520 ,"Rua Lauro Linhares, 1390 - Trindade, Florianópolis - SC",2494650108,, R$ 98 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-38m2-aluguel-RS2000-id-2494650108/?__vt=lgpd:b,38,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 38 m² por R$ 2.000/Mês  "
   R$ 1.467, R$ 786 ,"Rua Trajano, 217 - Centro, Florianópolis - SC",2484865531,,,https://www.vivareal.com.br/imovel/ponto-comercial-1-quartos-centro-bairros-florianopolis-12m2-aluguel-RS1467-id-2484865531/?__vt=lgpd:b,12,1,,Vivareal,"  Ponto Comercial com 1 Quarto para Alugar, 12 m² por R$ 1.467/Mês  "
   R$ 3.050, R$ 1.000 ,"Rua Alves de Brito, 77 - Centro, Florianópolis - SC",2473236751,, R$ 300 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-160m2-aluguel-RS3050-id-2473236751/?__vt=lgpd:b,160,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 160 m² por R$ 3.050/Mês  "
   R$ 3.000, R$ 750 ,"Avenida Madre Benvenuta - Trindade, Florianópolis - SC",2493247216,, R$ 117 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-82m2-aluguel-RS3000-id-2493247216/?__vt=lgpd:b,82,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 82 m² por R$ 3.000/Mês  "
   R$ 500,,"Estreito, Florianópolis - SC",2481318788,, R$ 35 ,https://www.vivareal.com.br/imovel/casa-2-quartos-estreito-bairros-florianopolis-com-garagem-50m2-aluguel-RS500-id-2481318788/?__vt=lgpd:b,50,2,1,Vivareal,"  Casa com 2 Quartos para Alugar, 50 m² por R$ 500/Mês  "
   R$ 6.000,,"Rua Osvaldo Calixto de Lima - Joao Paulo, Florianópolis - SC",2427728632,, R$ 200 ,https://www.vivareal.com.br/imovel/casa-3-quartos-joao-paulo-bairros-florianopolis-com-garagem-350m2-aluguel-RS6000-id-2427728632/?__vt=lgpd:b,350,3,3,Vivareal,"  Casa com 3 Quartos para Alugar, 350 m² por R$ 6.000/Mês  "
   R$ 1.300, R$ 320 ,"Rua Europa - Trindade, Florianópolis - SC",2494929485,, R$ 100 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-65m2-aluguel-RS1300-id-2494929485/?__vt=lgpd:b,65,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 65 m² por R$ 1.300/Mês  "
   R$ 3.100, R$ 392 ,"Rua Almirante Lamego, 1100 - Centro, Florianópolis - SC",2494514879,, R$ 479 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-143m2-aluguel-RS3100-id-2494514879/?__vt=lgpd:b,143,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 143 m² por R$ 3.100/Mês  "
   R$ 3.000, Não informado ,"Rodovia João Paulo, 145 - Joao Paulo, Florianópolis - SC",2481299397,,,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-joao-paulo-bairros-florianopolis-com-garagem-72m2-aluguel-RS3000-id-2481299397/?__vt=lgpd:b,72,,2,Vivareal,"  Galpão/Depósito/Armazém para Alugar, 72 m² por R$ 3.000/Mês  "
   R$ 1.200.000   , R$ 450 ,"Rua dos Chernes, 45 - Jurerê, Florianópolis - SC",2490669679,, R$ 2.000 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-100m2-venda-RS1200000-id-2490669679/?__vt=lgpd:b,100,2,2,Vivareal,"  Apartamento com 2 Quartos à Venda, 100 m² por R$ 1.200.000  "
   R$ 2.800, R$ 370 ,"Campeche, Florianópolis - SC",2493353938,, R$ 170 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-71m2-aluguel-RS2800-id-2493353938/?__vt=lgpd:b,71,2,2,Vivareal,"  Apartamento com 2 Quartos para Alugar, 71 m² por R$ 2.800/Mês  "
   R$ 1.800, R$ 359 ,"Itacorubi, Florianópolis - SC",2484775742,, R$ 130 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-70m2-aluguel-RS1800-id-2484775742/?__vt=lgpd:b,70,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 1.800/Mês  "
   R$ 2.900.000   , Não informado ,"Avenida das Lagostas, 87 - Jurerê Internacional, Florianópolis - SC",2479055062,,,https://www.vivareal.com.br/imovel/casa-7-quartos-jurere-internacional-bairros-florianopolis-com-garagem-390m2-venda-RS2900000-id-2479055062/?__vt=lgpd:b,390,7,4,Vivareal,"  Casa com 7 Quartos à Venda, 390 m² por R$ 2.900.000  "
   R$ 3.500, R$ 1.400 ,"Rua Fernando Ferreira de Mello, 204 - Bom Abrigo, Florianópolis - SC",2493213679,, R$ 1.054 ,https://www.vivareal.com.br/imovel/cobertura-4-quartos-bom-abrigo-bairros-florianopolis-com-garagem-222m2-aluguel-RS3500-id-2493213679/?__vt=lgpd:b,222,4,2,Vivareal,"  Cobertura com 4 Quartos para Alugar, 222 m² por R$ 3.500/Mês  "
   R$ 731.000   , Não informado ,"Avenida Mauro Ramos, 1970 - Centro, Florianópolis - SC",2492291800,,,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-41m2-venda-RS731000-id-2492291800/?__vt=lgpd:b,41,,,Vivareal,"  Sala Comercial à Venda, 41 m² por R$ 731.000  "
   R$ 1.750, R$ 290 ,"Rua José João Martendal - Carvoeira, Florianópolis - SC",2493248735,, R$ 74 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-68m2-aluguel-RS1750-id-2493248735/?__vt=lgpd:b,68,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 68 m² por R$ 1.750/Mês  "
   R$ 1.300,,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 35 - Barra da Lagoa, Florianópolis - SC",2492636080,, R$ 50 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-barra-da-lagoa-bairros-florianopolis-com-garagem-60m2-aluguel-RS1300-id-2492636080/?__vt=lgpd:b,60,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 60 m² por R$ 1.300/Mês  "
   R$ 15.000, Não informado ,"Rodovia Francisco Magno Vieira, 1421 - Campeche, Florianópolis - SC",2492386690,,,https://www.vivareal.com.br/imovel/ponto-comercial-campeche-bairros-florianopolis-com-garagem-300m2-aluguel-RS15000-id-2492386690/?__vt=lgpd:b,300,,12,Vivareal,"  Ponto Comercial para Alugar, 300 m² por R$ 15.000/Mês  "
   R$ 1.300, R$ 338 ,"Rua Lauro Linhares - Trindade, Florianópolis - SC",2493249795,, R$ 67 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-46m2-aluguel-RS1300-id-2493249795/?__vt=lgpd:b,46,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 46 m² por R$ 1.300/Mês  "
   R$ 900, R$ 320 ,"Rua Doutor Abel Capela - Coqueiros, Florianópolis - SC",2490412616,, R$ 60 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-coqueiros-bairros-florianopolis-com-garagem-41m2-aluguel-RS900-id-2490412616/?__vt=lgpd:b,41,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 41 m² por R$ 900/Mês  "
   R$ 3.990, R$ 1.221 ,"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",2483650176,, R$ 2.444 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-110m2-aluguel-RS3990-id-2483650176/?__vt=lgpd:b,110,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 110 m² por R$ 3.990/Mês  "
   R$ 1.890.000   , R$ 1.123 ,"Rua João Meirelles, 1415 - Abraão, Florianópolis - SC",2492711908,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-184m2-venda-RS1890000-id-2492711908/?__vt=lgpd:b,184,3,3,Vivareal,"  Apartamento com 3 Quartos à Venda, 184 m² por R$ 1.890.000  "
   R$ 550, Não informado ,"Rua Madre Maria Vilac, 584 - Canasvieiras, Florianópolis - SC",2496418780,,,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-90m2-aluguel-RS550-id-2496418780/?__vt=lgpd:b,90,2,2,Vivareal,"  Casa de Condomínio com 2 Quartos para Alugar, 90 m² por R$ 550/Dia  "
   R$ 1.650, R$ 320 ,"Rua das Gaivotas - Ingleses do Rio Vermelho, Florianópolis - SC",2495068101,, R$ 101 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-63m2-aluguel-RS1650-id-2495068101/?__vt=lgpd:b,63,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 63 m² por R$ 1.650/Mês  "
   R$ 2.600, R$ 500 ,"Rua da Capela, 493 - Campeche, Florianópolis - SC",2494190578,, R$ 80 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-76m2-aluguel-RS2600-id-2494190578/?__vt=lgpd:b,76,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 76 m² por R$ 2.600/Mês  "
   R$ 1.890, R$ 580 ,"Rua Dante de Patta, 155 - Ingleses Norte, Florianópolis - SC",2492062475,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-norte-bairros-florianopolis-com-garagem-70m2-aluguel-RS1890-id-2492062475/?__vt=lgpd:b,70,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 70 m² por R$ 1.890/Mês  "
   R$ 8.000.000   ,,"Rua dos Tambaquis, 165 - Jurerê Internacional, Florianópolis - SC",2490670780,, R$ 7.000 ,https://www.vivareal.com.br/imovel/casa-6-quartos-jurere-internacional-bairros-florianopolis-com-garagem-1200m2-venda-RS8000000-id-2490670780/?__vt=lgpd:b,1200,6,4,Vivareal,"  Casa com 6 Quartos à Venda, 1200 m² por R$ 8.000.000  "
   R$ 5.000,,"Rua Conselheiro Mafra, 477 - Centro, Florianópolis - SC",2492832979,, R$ 385 ,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-166m2-aluguel-RS5000-id-2492832979/?__vt=lgpd:b,166,,,Vivareal,"  Ponto Comercial para Alugar, 166 m² por R$ 5.000/Mês  "
   R$ 5.800, Não informado ,"Rua Rita Lourenço da Silveira, 225 - Lagoa da Conceição, Florianópolis - SC",2480816017,,,https://www.vivareal.com.br/imovel/casa-3-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-150m2-aluguel-RS5800-id-2480816017/?__vt=lgpd:b,150,3,2,Vivareal,"  Casa com 3 Quartos para Alugar, 150 m² por R$ 5.800/Mês  "
   R$ 1.400.000   , Não informado ,"Rua Desembargador Ferreira Bastos - Coqueiros, Florianópolis - SC",2492007704,,,https://www.vivareal.com.br/imovel/casa-4-quartos-coqueiros-bairros-florianopolis-com-garagem-280m2-venda-RS1400000-id-2492007704/?__vt=lgpd:b,280,4,4,Vivareal,"  Casa com 4 Quartos à Venda, 280 m² por R$ 1.400.000  "
   R$ 2.150, R$ 63 ,"Centro, Florianópolis - SC",2489481743,, R$ 75 ,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-25m2-aluguel-RS2150-id-2489481743/?__vt=lgpd:b,25,,,Vivareal,"  Ponto Comercial para Alugar, 25 m² por R$ 2.150/Mês  "
   R$ 290.000   , R$ 350 ,"Rua Patrício Farias, 55 - Itacorubi, Florianópolis - SC",2495501696,, R$ 715 ,https://www.vivareal.com.br/imovel/sala-comercial-itacorubi-bairros-florianopolis-37m2-venda-RS290000-id-2495501696/?__vt=lgpd:b,37,,,Vivareal,"  Sala Comercial à Venda, 37 m² por R$ 290.000  "
   R$ 1.600, R$ 150 ,"Rua João Motta Espezim, 840 - Saco dos Limões, Florianópolis - SC",2486120597,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-saco-dos-limoes-bairros-florianopolis-com-garagem-24m2-aluguel-RS1600-id-2486120597/?__vt=lgpd:b,24,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 24 m² por R$ 1.600/Mês  "
   R$ 2.600.000   , Não informado ,"Rua das Sapopemas - Jurerê, Florianópolis - SC",2492406888,,,https://www.vivareal.com.br/imovel/casa-4-quartos-jurere-bairros-florianopolis-com-garagem-280m2-venda-RS2600000-id-2492406888/?__vt=lgpd:b,280,4,2,Vivareal,"  Casa com 4 Quartos à Venda, 280 m² por R$ 2.600.000  "
   R$ 13.600.000   ,,"Rua Joaquim Carneiro, 508 - Capoeiras, Florianópolis - SC",2437800701,, R$ 21.214 ,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-capoeiras-bairros-florianopolis-6060m2-venda-RS13600000-id-2437800701/?__vt=lgpd:b,6060,,,Vivareal,"  Galpão/Depósito/Armazém à Venda, 6060 m² por R$ 13.600.000  "
   R$ 1.800, R$ 407 ,"Rua Lauro Linhares - Trindade, Florianópolis - SC",2493249876,, R$ 69 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-com-garagem-65m2-aluguel-RS1800-id-2493249876/?__vt=lgpd:b,65,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 65 m² por R$ 1.800/Mês  "
   R$ 1.400, R$ 430 ,"Rua Duarte Schutel - Centro, Florianópolis - SC",2493248739,, R$ 32 ,https://www.vivareal.com.br/imovel/kitnet-1-quartos-centro-bairros-florianopolis-28m2-aluguel-RS1400-id-2493248739/?__vt=lgpd:b,28,1,,Vivareal,"  Kitnet com 1 Quarto para Alugar, 28 m² por R$ 1.400/Mês  "
   R$ 1.550, R$ 420 ,"Rua João Motta Espezim - Saco dos Limões, Florianópolis - SC",2493249101,, R$ 122 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-saco-dos-limoes-bairros-florianopolis-com-garagem-119m2-aluguel-RS1550-id-2493249101/?__vt=lgpd:b,119,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 119 m² por R$ 1.550/Mês  "
   R$ 1.020, R$ 495 ,"Rua Capitão Romualdo de Barros, 965 - Carvoeira, Florianópolis - SC",2492435936,, R$ 110 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-carvoeira-bairros-florianopolis-com-garagem-60m2-aluguel-RS1020-id-2492435936/?__vt=lgpd:b,60,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 60 m² por R$ 1.020/Mês  "
   R$ 1.519.000   , Não informado ,"Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC",2492289081,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-70m2-venda-RS1519000-id-2492289081/?__vt=lgpd:b,70,2,2,Vivareal,"  Apartamento com 2 Quartos à Venda, 70 m² por R$ 1.519.000  "
   R$ 3.200,,"Servidão Ernesto Amaro Vieira, 95 - Jardim Atlântico, Florianópolis - SC",2490137332,, R$ 395 ,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-jardim-atlantico-bairros-florianopolis-432m2-aluguel-RS3200-id-2490137332/?__vt=lgpd:b,432,,,Vivareal,"  Galpão/Depósito/Armazém para Alugar, 432 m² por R$ 3.200/Mês  "
   R$ 2.800, R$ 530 ,"Rua Manoel Isidoro da Silveira - Lagoa da Conceição, Florianópolis - SC",2495927102,, R$ 1.120 ,https://www.vivareal.com.br/imovel/cobertura-2-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-128m2-aluguel-RS2800-id-2495927102/?__vt=lgpd:b,128,2,1,Vivareal,"  Cobertura com 2 Quartos para Alugar, 128 m² por R$ 2.800/Mês  "
   R$ 1.800, R$ 450 ,"Rua Adolfo Gonçalves de Aguiar, 161 - Itacorubi, Florianópolis - SC",2495459019,, R$ 118 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-71m2-aluguel-RS1800-id-2495459019/?__vt=lgpd:b,71,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 71 m² por R$ 1.800/Mês  "
   R$ 3.950, R$ 1.400 ,"Avenida Jornalista Rubens de Arruda Ramos - Centro, Florianópolis - SC",2495544074,, R$ 260 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-100m2-aluguel-RS3950-id-2495544074/?__vt=lgpd:b,100,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 100 m² por R$ 3.950/Mês  "
   R$ 1.450, Não informado ,"Trindade, Florianópolis - SC",2495187384,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-48m2-aluguel-RS1450-id-2495187384/?__vt=lgpd:b,48,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 48 m² por R$ 1.450/Mês  "
   R$ 1.450, Não informado ,"Rua das Gaivotas, 86 - Ingleses Norte, Florianópolis - SC",2480367697,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-norte-bairros-florianopolis-com-garagem-80m2-aluguel-RS1450-id-2480367697/?__vt=lgpd:b,80,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 80 m² por R$ 1.450/Mês  "
   R$ 3.840, Não informado ,"Rua Libia Cruz - Estreito, Florianópolis - SC",2487188847,,,https://www.vivareal.com.br/imovel/ponto-comercial-estreito-bairros-florianopolis-com-garagem-235m2-aluguel-RS3840-id-2487188847/?__vt=lgpd:b,235,,1,Vivareal,"  Ponto Comercial para Alugar, 235 m² por R$ 3.840/Mês  "
   R$ 520.000   , R$ 700 ,"Rua Quilombo - Itacorubi, Florianópolis - SC",2488754109,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-68m2-venda-RS520000-id-2488754109/?__vt=lgpd:b,68,2,1,Vivareal,"  Apartamento com 2 Quartos à Venda, 68 m² por R$ 520.000  "
   R$ 2.800.000   , Não informado ,"Jurerê, Florianópolis - SC",2495370921,,,https://www.vivareal.com.br/imovel/casa-5-quartos-jurere-bairros-florianopolis-com-garagem-350m2-venda-RS2800000-id-2495370921/?__vt=lgpd:b,350,5,4,Vivareal,"  Casa com 5 Quartos à Venda, 350 m² por R$ 2.800.000  "
   R$ 3.800, R$ 650 ,"Avenida Madre Benvenuta - Santa Mônica, Florianópolis - SC",2489610504,, R$ 190 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-florianopolis-com-garagem-90m2-aluguel-RS3800-id-2489610504/?__vt=lgpd:b,90,3,2,Vivareal,"  Apartamento com 3 Quartos para Alugar, 90 m² por R$ 3.800/Mês  "
   R$ 900, R$ 280 ,"Servidão Manoel Alves Cabral, 190 - Ingleses do Rio Vermelho, Florianópolis - SC",2480411816,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-50m2-aluguel-RS900-id-2480411816/?__vt=lgpd:b,50,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 50 m² por R$ 900/Mês  "
   R$ 610.000   , R$ 1.000 ,"Joao Paulo, Florianópolis - SC",2494621687,, R$ 642 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-75m2-venda-RS610000-id-2494621687/?__vt=lgpd:b,75,2,2,Vivareal,"  Apartamento com 2 Quartos à Venda, 75 m² por R$ 610.000  "
   R$ 3.500, R$ 513 ,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",2494249194,, R$ 120 ,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-99m2-aluguel-RS3500-id-2494249194/?__vt=lgpd:b,99,3,1,Vivareal,"  Apartamento com 3 Quartos para Alugar, 99 m² por R$ 3.500/Mês  "
   R$ 1.790, R$ 700 ,"Rua João Meirelles, 1435 - Abraão, Florianópolis - SC",2492876614,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-abraao-bairros-florianopolis-com-garagem-76m2-aluguel-RS1790-id-2492876614/?__vt=lgpd:b,76,2,2,Vivareal,"  Apartamento com 2 Quartos para Alugar, 76 m² por R$ 1.790/Mês  "
   R$ 2.900, R$ 800 ,"Rua Frei Caneca, 160 - Agronômica, Florianópolis - SC",2494254184,,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agronomica-bairros-florianopolis-com-garagem-55m2-aluguel-RS2900-id-2494254184/?__vt=lgpd:b,55,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 55 m² por R$ 2.900/Mês  "
   R$ 7.000,,"Rua Antônio Mattos Areas, 593 - Balneário, Florianópolis - SC",2490262297,, R$ 170 ,https://www.vivareal.com.br/imovel/casa-3-quartos-balneario-bairros-florianopolis-com-garagem-480m2-aluguel-RS7000-id-2490262297/?__vt=lgpd:b,480,3,4,Vivareal,"  Casa com 3 Quartos para Alugar, 480 m² por R$ 7.000/Mês  "
